date,title,description,location
06-18-2022,CIA LUCES ESCOBEDO,LOS MAÑAS20:30 BASTIDAKO PLAZAN,LaBastida
06-25-2022,MALAS COMPAÑÍAS,ZIRKUS20:30 BASTIDAKO PLAZAN,LaBastida
07-02-2022,GOITIBERA,YIJAAA!!20:30 BASTIDAKO PLAZAN,LaBastida
07-09-2022,AUREKAN,HURRENGO GELTOKIA20:30 BASTIDAKO PLAZAN,LaBastida
07-16-2022,ANNA CONFETTI,A LA FRESCA20:30 BASTIDAKO PLAZAN,LaBastida
07-23-2022,UT-KONTZERTUA,70. ETA 80. HAMARKADETAKO EUSKAL KANTUAK21:00 BASTIDAKO PLAZAN,LaBastida
08-03-2022,LA INDUSTRIAL TEATRERA,HERENCIA20:30 BASTIDAKO PLAZAN,LaBastida
08-08-2022,GANSO & CIA,PANOLI KABARETA18:30 IRAKASLEEN PLAZA,LaBastida
08-12-2022,EIDABE,GORA BIHOTZAK!20:30 BASTIDAKO PLAZAN,LaBastida
08-15-2022,WILBUR,PIENSA EN WILBUR20:30 BASTIDAKO PLAZAN,LaBastida
09-10-2022,DANTZAZ,MENU20:00 IBILTARIA,LaBastida
08-04-2022,"ABUZTUAK 4, OSTEGUNA - JUEVES, 4 DE AGOSTO",20.00- Open eta Emakumezkoen Frontenis finalak.Frontoi zaharra.20:00- Finales de Frontenis femenino y Open.Frontón viejo.,LaBastida
08-05-2022,"ABUZTUAK 5, OSTIRALA - VIERNES, 5 DE AGOSTO","19:00etatik 21:30era- Udako areto-futbol txapelketen finalak (18 urtez azpikoak eta helduak). / 19:00 a 21.30- Finales de Torneos de Fútbol-Sala de Verano (sub 18 y adultos).20:00- Errekortariak zezen-plazan – Kanogal eremuan / 20:00- Recortadores en la Plaza de toros- zona Kanogal-.00:00- Plaza, musika-emanaldia “GREMIOKO ARTISTAK” / 00:00- Plaza. Actuación musical “ARTISTAS DEL GREMIO”.02:00- DJa txoznetan – kirol-pistak / 02:00- DJ en las Txoznas –pistas deportivas",LaBastida
08-06-2022,"ABUZTUAK 6, LARUNBATA - SÁBADO, 6 DE AGOSTO","12:00- Jaietako zapiak ezartzea 2021eko abuztutik aurrera jaio diren eta udalerrian erroldatuta dauden haurrei. Udaletxea. / 12:00- “Imposición de Pañuelos de Fiestas” a los niño/as que hayan nacido después de agosto de 2021, y estén empadronado/as en el municipio. Ayuntamiento.12:30- Ikurrinari omenaldia, “Gaztainondoen” irteera, eta agurra Maisuen Plazan. / 12:30- Homenaje a la Ikurriña. Salida desde “Los Castaños” y agurra en Plaza de Los Maestros13:00- Txupinazoa eta “Zahagiaren” jaitsiera Poteoa SUTAN txarangarekin / 13:00- Txupinazo y “Bajada de Pellejo”. Poteo con la txaranga. “SUTAN”.14:00- Kukaña Bake plazan / 14:00- Cucaña en Plaza de la Paz.15:30- Kuadrillen herri-bazkaria, frontoi zaharrean / 15:30- Comida Popular de Cuadrillas, en el Frontón viejo.17:00- Disko-karaokea Jai Alai plazan txikienentzat, Xaiborrekin. / 17:00- Disko-karaoke en Plaza Jai Alai, para los más txikis con “Xaibor” .18:30- Prix Handia, bigantxekin, Zezen-plazan – Kanogal eremuan / 18:30- Gran Prix con vaquillas en la plaza de toros -zona Kanogal-.19.30-21.30 Puzkarriak eta Ohe elastikoa – Txoznetan / 19:30-21:30- Hinchables y Cama elástica – Txoznas-.20:00- Meza / 20:00- Misa.20:30- Orkestra “NUEVA ERA”, Plazan. / 20:30- Orquesta “NUEVA ERA” en la Plaza.24:00- Berbena “NUEVA ERA”rekin, Plazan. / 24:00- Verbena en la Plaza con “NUEVA ERA”.23:00- Kontzertua Txoznetan: “Bukake, YAO, Perú” / 23:00- Concierto en las Txoznas: “Bukake, YAO, Perú”.",LaBastida
08-07-2022,"ABUZTUAK 7, IGANDEA - DOMINGO, 7 DE AGOSTO","08:30- Bigantxak zezen-plazan. / 08:30- Vaquillas en la Plaza de toros.10:30- Kalejira “MARRATE”rekin, Gaiteroak eta Noaingo Erraldoi eta Buruhandiek lagunduta. / 10:30- Pasacalles con “MARRATE”, acompañados de los Gaiteros y los Gigantes y Cabezudos de Noain.10:30- Meza Santua. / 10:30- Misa.11:30 - 13.30h- Tren neumatikoa, Jatorrenaren ondoan dagoen autobus geltokitik. / 11:30 - 13.30- Tren neumático, desde la parada11:45- Erlikien prozesioa eta Santa Meza, Marrate bandaren eta Iskorta Dantza Taldearen laguntzarekin. / 11:45- Procesión de Reliquias y Santa Misa, con acompañamiento de banda “Marrate” e “Iskorta dantza taldea”.13:00- Bastidako “MARRATE” musika Bandaren kontzertua, eta Bastidako Iskorta Dantza Taldea, Musika Bandaren kontzertua. / 13:00- Concierto de la Banda de Música “MARRATE” de Labastida, y Dantzas “ISKORTA” de Labastida.16:00-18.00h- Tren neumatikoa, Bastidako kaleetatik, Jatorrenaren ondoko autobus-geltokitik. / 16:00 - 18.00- Tren neumático, por las calles de Labastida, desde la parada de autobuses junto al Jatorrena.18:00- Haur mozorro festa, Txoznetan. / 18:00- Fiesta de disfraces infantil en las Txoznas.19:00- Zezen-errekortariak zezen-plazan. / 19:00- Recortadores con toros en la Plaza de toros20:30- Mariatxis-en emanaldia, “Mariatxi Imperial”, Plazan. / 20:30- Actuación de “Mariachi Imperial” en la Plaza.24:00- Su artifizialak. / 24:00- Fuegos artificiales.24:30- “KRESALA” Orkestrarekin berbena, Plazan. / 24:30- Verbena en la Plaza con Orquesta “KRESALA”.04:00- Mozorro Festa eta Herri Kirolak, Txoznetan. / 04:00- Fiestas de disfraces y “Herri Kirolak” en las Txozna",LaBastida
08-09-2022,"ABUZTUAK 9, ASTEARTEA - MARTES, 9 DE AGOSTO","8:30- Bigantxak zezen-plazan. / 8:30- Vaquillas en la Plaza de toros.10:00- Dianak gaiteroekin. / 10:00- Dianas con los Gaiteros.12:00- Meza. / 12:00- Misa.12:00- “MAHATSADAR” Elkarte gastronomikoak antolatutako ardo-dastatzea, Jai Alai plazan. / 12:00- Cata de Vinos organizado por “MAHATSADAR” Sociedad Gastronómica, en Plaza Jai Alai.13:30- Jotak “VOCES DEL EBRO”rekin. / 13:30- Jotas con “VOCES DEL EBRO”.13.30- Apar-festa, Maisuen Plazan / 13.30- Fiesta de la espuma en la Plaza de los Maestros.19.00- DJ NAI, txikientzat, Txoznetan. / 19:00- DJ NAI, para los txikis, en las Txoznas.20:30- Guztiok “IRATXE”rekin dantzatzera, Plazan. / 20:30- Todo/as a bailar con “IRATXE” en la Plaza.22:15- Herri Afaria Txoznaguneak antolatuta / 22:15- Cena Popular organizada por las Txoznas24:00- Berbena, “LISKER”-ekin Plazan. / 24:00- Verbena con “LISKER” en la Plaza.02:00- “Zahagiaren Igoera” eta festa amaierako traka. / 02:00- “Subida del Pellejo” y traca fin de fiestas.02:15- “LISKER”-ekin jarraitzen du berbena. / 02:15- Sigue la verbena con “LISKER”.03:00- Agurra eta jaien amaiera. / 03:00- Despedida y Fin de Fiestas.",LaBastida
08-13-2022,"KATAK “QUINTANO LABASTIDA-BASTIDAKO ARDOAK” - CATAS ""QUINTANO-LABASTIDA-VINOS DE LABASTIDA""","13:00 Y 20:30 H.UPETELGIAK: SOLAGÜEN, AIMAREZ, GONTÉS, MITARTE, EL HOMBRE ORQUESTA, BODEGAS QUINTANA Y BODEGAS TORRESBODEGAS: SOLAGÜEN, AIMAREZ, GONTÉS, MITARTE, EL HOMBRE ORQUESTA, BODEGAS QUINTANA Y BODEGAS TORRES",LaBastida
08-16-2022,"ABUZTUAK 16, ASTEARTEA - MARTES, 16 DE AGOSTO","11,30 San Roque Dantza, San Roke baselizatik (La Finaren etxea) / 11,30. Danza de San Roque desde la ermita de San Roque (casa de la Fina)11,45 Prozesioa,  Parrokiatik Kristo Baselizara / 11,45. Procesión desde la Parroquia a la Ermita del Cristo12,00 Meza ,Kristo Baselizan / 12,00. Misa en la Ermita del Cristo",LaBastida
11-30--0001,Bastida Dantzaz Menu,,LaBastida
09-16-2022,Helduen Hezkuntza Iraunkorra,,LaBastida
09-15-2022,Euskaltegiko matrikulazio bilerak,,LaBastida
09-18-2022,27ª Fiesta de la Vendimia de Rioja Alavesa,,LaBastida
09-25-2022,Visitas Teatralizadas Salinillas 2022,,LaBastida
11-13-2022,Arabako Errioxatik Paseoan - Paseos por Rioja Alavesa,,LaBastida
12-18-2022,Arabako Errioxatik Paseoan - Paseos por Rioja Alavesa 18dic,,LaBastida
10-16-2022,Arabako Errioxatik Paseoan - Paseos por Rioja Alavesa 16 oct,,LaBastida
10-18-2022,TALLER PTP RIOJA ALAVESA,,LaBastida
10-15-2022,Gazteleku Labastida,,LaBastida
10-22-2022,Gazteleku Labastida,,LaBastida
10-29-2022,Gazteleku Labastida,,LaBastida
11-19-2022,Gazteleku Labastida,,LaBastida
11-05-2022,Gazteleku Labastida,,LaBastida
11-26-2022,Gazteleku Labastida,,LaBastida
12-03-2022,Gazteleku Labastida,,LaBastida
12-10-2022,Gazteleku Labastida,,LaBastida
12-17-2022,Gazteleku Labastida,,LaBastida
10-30-2022,WineRun Rioja Alavesa,,LaBastida
10-27-2022,Paseo saludable - Ibilaldi osasungarria,,LaBastida
11-14-2022,Festival Haziaraba in the Mapping Jaialdia,,LaBastida
11-09-2022,Kafe tertuliak - Cafés-tertulia,,LaBastida
11-16-2022,Kafe tertuliak - Cafés-tertulia,,LaBastida
11-23-2022,Kafe tertuliak - Cafés-tertulia,,LaBastida
11-30-2022,Kafe tertuliak - Cafés-tertulia,,LaBastida
11-12-2022,Herri Afaria,,LaBastida
11-10-2022,Bastidako emakumeen memoria bizia - Memoria viva de las mujeres de Labastida,,LaBastida
11-17-2022,Bastidako emakumeen memoria bizia - Memoria viva de las mujeres de Labastida,,LaBastida
11-24-2022,Bastidako emakumeen memoria bizia - Memoria viva de las mujeres de Labastida,,LaBastida
11-25-2022,25N,,LaBastida
11-27-2022,ESCAPE ROOM BASTIDA MOREA,,LaBastida
11-29-2022,talleres memoria viva. cambio hora,,LaBastida
12-21-2022,"Kafe tertulia - Café-tertulia: Iñaki Pérez, terapeuta",,LaBastida
12-16-2022,Formación sobre el Alzheimer - Alzheimerraren gaixotasunari buruzko prestakuntza,,LaBastida
12-15-2022,Charla ayudas viñedo - control explotaciones vitícolas,,LaBastida
12-24-2022,Mari Domingi eta Olentzero,,LaBastida
01-03-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
02-07-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
03-07-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
04-04-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
05-02-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
06-06-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
07-04-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
08-01-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
09-05-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
10-03-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
11-07-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
12-05-2023,Puntu berde mugikorra - Punto verde móvil,,LaBastida
01-20-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
02-17-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
03-17-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
04-21-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
05-19-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
06-16-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
07-21-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
08-18-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
09-15-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
10-20-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
11-17-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
12-15-2023,Recogida de enseres y voluminosos - Tamaina handiko hondakinen jasotzea,,LaBastida
12-27-2022,Escuela prevencion contra la soledad,,LaBastida
12-31-2022,PASTORES TXIKIS,,LaBastida
01-04-2023,RECOGIDA REGALOS PAJES REALES,,LaBastida
01-05-2023,CABALGATA DE REYES,,LaBastida
01-19-2023,Familientzako prestakuntza tailerra - Taller de formación para familias,,LaBastida
01-26-2023,Familientzako prestakuntza tailerra - Taller de formación para familias,,LaBastida
02-03-2023,Bakarkadeak - Psicología para el día a día,,LaBastida
02-09-2023,Bakarkadeak - Psicología para el día a día,,LaBastida
02-16-2023,Bakarkadeak - Psicología para el día a día,,LaBastida
02-23-2023,Bakarkadeak - Psicología para el día a día,,LaBastida
03-02-2023,Bakarkadeak - Psicología para el día a día,,LaBastida
02-12-2023,Programatu zure bideo-jokoa - Neskaren Nazioarteko Eguna Zientzian,,LaBastida
02-02-2023,Familientzako prestakuntza tailerra - Taller de formación para familias,,LaBastida
03-04-2023,Arabako Bertso Kuadrilla Arteko Txapelketa,,LaBastida
03-01-2023,CANCELADO - Presentación del Avance PTP Rioja Alavesa / BERTAN BEHERA UTZI - Araba Errioxako LPP Aurrerapenaren Aurkezpena,,LaBastida
03-14-2023,La administración cerca de tí - Jornada Informativa,,LaBastida
03-16-2023,Labastida KZ Gunea,,LaBastida
03-03-2023,Bastidako Herri Ikastetxea - Zirku Eskola,,LaBastida
03-09-2023,Taller de Formación para Familias - Familientzako Prestakuntza Tailerra,,LaBastida
03-23-2023,Taller de Formación para Familias - Familientzako Prestakuntza Tailerra,,LaBastida
03-05-2023,Eventos 8M - Lilaton,,LaBastida
03-08-2023,Eventos 8M - Concentración y manifestación / 8M ekitaldiak - Kontzentrazioa eta manifestazioa,,LaBastida
03-10-2023,Eventos 8M - Monólogo / 8M ekitaldiak - Bakarrizketa,,LaBastida
03-11-2023,Eventos 8M - Taller de Paralelismos / 8M ekitaldiak - Paralelismo Tailerra,,LaBastida
03-25-2023,Ciclo de cine - Elkarbizine - Zinema zikloa,,LaBastida
03-30-2023,Bakarkadeak - Eskola-escuela de soledades,,LaBastida
04-13-2023,Bakarkadeak - Eskola-escuela de soledades,,LaBastida
04-01-2023,Dantzari eguna,,LaBastida
04-03-2023,Itzulia,,LaBastida
04-02-2023,Concierto Sonidos de la Pasión - Kontzertua Pasioaren Soinuak,,LaBastida
04-06-2023,Procesión de la Santa Cena,,LaBastida
04-07-2023,Solemne Via Crucis - Procesión del Santo Entierro,,LaBastida
04-08-2023,Pelota: Laso-Iztueta / Larrazabal-Albisu,,LaBastida
04-15-2023,Talleres infantiles - Haurrentzako tailerrak,,LaBastida
04-19-2023,Paseo saludable - Ibilaldi osasungarria,,LaBastida
04-20-2023,Convivencia solidaria intergeneracional - Belaunaldien arteko bizikidetza solidarioa,"Arranca el Proyecto de Convivencia Solidaria Intergeneracional, en Bastida. Una iniciativa que nace de la Red de Mujeres del Medio Rural y esta dentro de Araba A Punto. Es un proyecto de colaboración abierto a todos los vecinos y vecinas en busca de un objetivo común, cuidarnos y cuidar nuestro entorno desde el respeto, la empatía y la igualdad. Pretendemos continuar con los valores comunitarios de siemprehaciendo pueblo,""Cuento contigo Cuenta conmigo"".Comenzamos con unas charlas sobre ""hacer pueblo"", Marian Urrechu dinamizará esta iniciativa en la Bakardadeak Eskola los jueves por la tarde, te enviamos adjunto el cartel ¡¡APUNTA LAS FECHAS!!¿Qué trataremos en las sesiones?La necesidad de tomar conciencia de  quela convivenciaes una necesidad humana y está en peligro.Hacia dónde vamos y qué factores la están  deteriorando. ¿Que nos separa unos de otros?. Está en nuestra mano recuperar la confianza en el otro. Salir del miedo que condiciona las relaciones interpersonales.La solidaridades la mejor herramienta que tenemos para cambiar el mundo y es inherente al ser humano está en su naturaleza y es necesaria para la supervivencia pero a veces se pierde en el individualismo al que nos empuja la vida y solo nos damos cuenta cuando las situaciones trágicas nos asustan como en la pandemia, la guerra, etc, luego se nos olvida lo mucho que dependemos unos de otros y todo lo que podemos hacer juntos para mejorar nuestra vida y ser más felices.La convivencia seaIntergeneracionales lo más Inteligente, saludable y justo. No podemos perder la sabiduría que se ha adquirido acumulada por la vida de las personas que tienen la suerte de estar vivos, dispuestos a aprender de los errores y a compartirlo. Es saludable porque es antídoto para la soledad en ambas direcciones y salud lo que se aporta también en las dos direcciones. Y es justo por que, "" es de bien nacidos ser agradecidos"" y poner en valor lo que han aportado las generaciones  anteriores y también lo que las nuevas nos ofrecen. Sabiduría, serenidad, comprensión y valores esenciales por un lado, Cambio, apertura, frescura, inocencia e ilusión por el otro.Todos podemos aportar mucho empezando por ser conscientes de lo que nos condiciona para esa CONVIVENCIA SOLIDARIA INTERGENERACIONALPerseguir sueños nos mantiene jóvenes y soñar solos es solo un sueño, soñar juntos es el principio de la realidad.Comencemos desde lo pequeño, desde la actitud individual. Ánimo quejunt@s podemoshacer mucho.",LaBastida
